,Runs_scored,Minutes_at_crease,Balls_Faced,Number_of_4s,Number_of_6s,Strike_rate,Position,Dismissal,Innings,Opposition,Ground,Start_date,Odi_number,status,Year,Month
86,1,6,5,0,0,20.00,3,caught,1,v Sri Lanka,Hambantota,2012-07-24,ODI # 3292,Out,2012,7
87,38,80,65,2,0,58.46,3,caught,2,v Sri Lanka,Colombo (RPS),2012-07-28,ODI # 3293,Out,2012,7
88,128,187,119,12,1,107.56,3,not out,2,v Sri Lanka,Colombo (RPS),2012-07-31,ODI # 3294,Not_out,2012,7
89,23,42,35,2,0,65.71,3,lbw,1,v Sri Lanka,Pallekele,2012-08-04,ODI # 3295,Out,2012,8
90,0,9,5,0,0,0.00,3,bowled,1,v Pakistan,Chennai,2012-12-30,ODI # 3314,Out,2012,12
91,6,12,9,1,0,66.66,3,caught,2,v Pakistan,Eden Gardens,2013-01-03,ODI # 3315,Out,2013,1
92,7,25,17,1,0,41.17,3,caught,1,v Pakistan,Delhi,2013-01-06,ODI # 3316,Out,2013,1
93,15,45,22,1,0,68.18,3,caught,2,v England,Rajkot,2013-01-11,ODI # 3318,Out,2013,1
94,37,86,54,1,1,68.51,3,caught,1,v England,Kochi,2013-01-15,ODI # 3320,Out,2013,1
95,77,110,79,9,2,97.46,3,not out,2,v England,Ranchi,2013-01-19,ODI # 3322,Not_out,2013,1
96,26,44,33,3,0,78.78,3,caught,2,v England,Mohali,2013-01-23,ODI # 3327,Out,2013,1
97,0,1,1,0,0,0.00,3,caught,1,v England,Dharamsala,2013-01-27,ODI # 3329,Out,2013,1
98,31,46,41,2,0,75.60,3,caught,1,v South Africa,Cardiff,2013-06-06,ODI # 3363,Out,2013,6
99,22,18,18,4,0,122.22,3,bowled,2,v West Indies,The Oval,2013-06-11,ODI # 3368,Out,2013,6
100,22,36,27,3,0,81.48,3,not out,2,v Pakistan,Birmingham,2013-06-15,ODI # 3372,Not_out,2013,6
101,58,80,64,4,1,90.62,3,not out,2,v Sri Lanka,Cardiff,2013-06-20,ODI # 3376,Not_out,2013,6
102,43,66,34,4,1,126.47,3,caught,1,v England,Birmingham,2013-06-23,ODI # 3377,Out,2013,6
103,11,19,21,0,1,52.38,3,caught,1,v West Indies,Kingston,2013-06-30,ODI # 3380,Out,2013,6
104,2,6,5,0,0,40.00,4,caught,2,v Sri Lanka,Kingston,2013-07-02,ODI # 3382,Out,2013,7
105,102,120,83,13,2,122.89,3,caught,1,v West Indies,Port of Spain,2013-07-05,ODI # 3383,Out,2013,7
106,31,62,52,4,0,59.61,3,lbw,1,v Sri Lanka,Port of Spain,2013-07-09,ODI # 3387,Out,2013,7
107,2,8,5,0,0,40.00,3,caught,2,v Sri Lanka,Port of Spain,2013-07-11,ODI # 3388,Out,2013,7
108,115,133,108,13,1,106.48,3,caught,2,v Zimbabwe,Harare,2013-07-24,ODI # 3395,Out,2013,7
109,14,35,18,2,0,77.77,3,caught,1,v Zimbabwe,Harare,2013-07-26,ODI # 3397,Out,2013,7
110,68,128,88,5,1,77.27,3,not out,2,v Zimbabwe,Harare,2013-07-28,ODI # 3399,Not_out,2013,7
113,61,121,85,6,0,71.76,3,lbw,2,v Australia,Pune,2013-10-13,ODI # 3419,Out,2013,10
114,100,82,52,8,7,192.30,3,not out,2,v Australia,Jaipur,2013-10-16,ODI # 3420,Not_out,2013,10
115,68,121,73,9,0,93.15,3,caught,1,v Australia,Mohali,2013-10-19,ODI # 3421,Out,2013,10
117,115,104,66,18,1,174.24,3,not out,2,v Australia,Nagpur,2013-10-30,ODI # 3424,Not_out,2013,10
118,0,4,3,0,0,0.00,3,run out,1,v Australia,Bengaluru,2013-11-02,ODI # 3428,Out,2013,11
119,86,120,84,9,2,102.38,3,caught,2,v West Indies,Kochi,2013-11-21,ODI # 3436,Out,2013,11
120,99,159,100,9,0,99.00,3,caught,1,v West Indies,Visakhapatnam,2013-11-24,ODI # 3437,Out,2013,11
121,19,19,18,3,0,105.55,3,caught,2,v West Indies,Kanpur,2013-11-27,ODI # 3439,Out,2013,11
122,31,41,35,5,0,88.57,3,caught,2,v South Africa,Johannesburg,2013-12-05,ODI # 3442,Out,2013,12
123,0,7,5,0,0,0.00,3,caught,2,v South Africa,Durban,2013-12-08,ODI # 3443,Out,2013,12
125,123,179,111,11,2,110.81,3,caught,2,v New Zealand,Napier,2014-01-19,ODI # 3456,Out,2014,1
126,78,88,65,7,2,120.00,3,caught,2,v New Zealand,Hamilton,2014-01-22,ODI # 3458,Out,2014,1
127,6,27,20,1,0,30.00,3,caught,2,v New Zealand,Auckland,2014-01-25,ODI # 3462,Out,2014,1
128,2,14,10,0,0,20.00,2,caught,1,v New Zealand,Hamilton,2014-01-28,ODI # 3465,Out,2014,1
129,82,129,78,7,3,105.12,3,caught,2,v New Zealand,Wellington,2014-01-31,ODI # 3467,Out,2014,1
130,136,157,122,16,2,111.47,3,bowled,2,v Bangladesh,Fatullah,2014-02-26,ODI # 3474,Out,2014,2
131,48,66,51,4,1,94.11,3,bowled,1,v Sri Lanka,Fatullah,2014-02-28,ODI # 3476,Out,2014,2
132,5,29,11,0,0,45.45,3,caught,1,v Pakistan,Mirpur,2014-03-02,ODI # 3479,Out,2014,3
134,0,1,3,0,0,0.00,3,caught,1,v England,Cardiff,2014-08-27,ODI # 3517,Out,2014,8
135,40,67,50,2,1,80.00,3,caught,2,v England,Nottingham,2014-08-30,ODI # 3520,Out,2014,8
136,1,9,3,0,0,33.33,3,not out,2,v England,Birmingham,2014-09-02,ODI # 3523,Not_out,2014,9
137,13,25,21,2,0,61.90,3,caught,2,v England,Leeds,2014-09-05,ODI # 3525,Out,2014,9
138,2,7,5,0,0,40.00,3,caught,2,v West Indies,Kochi,2014-10-08,ODI # 3531,Out,2014,10
139,62,124,78,5,0,79.48,4,caught,1,v West Indies,Delhi,2014-10-11,ODI # 3533,Out,2014,10
140,127,164,114,13,3,111.40,3,run out,1,v West Indies,Dharamsala,2014-10-17,ODI # 3535,Out,2014,10
141,22,34,21,2,0,104.76,4,caught,1,v Sri Lanka,Cuttack,2014-11-02,ODI # 3539,Out,2014,11
142,49,-,44,2,2,111.36,4,caught,2,v Sri Lanka,Ahmedabad,2014-11-06,ODI # 3540,Out,2014,11
143,53,-,61,4,1,86.88,4,caught,2,v Sri Lanka,Hyderabad,2014-11-09,ODI # 3543,Out,2014,11
144,66,109,64,6,0,103.12,4,run out,1,v Sri Lanka,Eden Gardens,2014-11-13,ODI # 3544,Out,2014,11
145,139,192,126,12,3,110.31,4,not out,2,v Sri Lanka,Ranchi,2014-11-16,ODI # 3547,Not_out,2014,11
146,9,24,16,0,0,56.25,4,caught,1,v Australia,Melbourne,2015-01-18,ODI # 3582,Out,2015,1
147,4,13,8,0,0,50.00,4,caught,1,v England,Brisbane,2015-01-20,ODI # 3586,Out,2015,1
148,3,8,9,0,0,33.33,4,not out,1,v Australia,Sydney,2015-01-26,ODI # 3592,Not_out,2015,1
